country,iso3,who.region,resource,unit_cost,cost.m,cost.sd
Equatorial Guinea,GNQ,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.23,1.09
Eritrea,ERI,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.95,0.94
Estonia,EST,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.28,1.59
Eswatini,SWZ,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.98,1.13
Ethiopia,ETH,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,21.3,0.96
Fiji,FJI,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.96,1.12
Finland,FIN,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.56,2.46
France,FRA,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,47.23,2.13
French Polynesia,PYF,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,47.23,2.13
Gabon,GAB,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.73,1.29
Gambia,GMB,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.35,0.87
Georgia,GEO,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.33,0.78
Germany,DEU,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,48.01,2.16
Ghana,GHA,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.5,1.01
Greece,GRC,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.83,1.61
Greenland,GRL,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.83,1.61
Grenada,GRD,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.08,1.58
Guam,GUM,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.08,1.58
Guatemala,GTM,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,29.58,1.33
Guinea,GIN,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.78,0.94
Guinea-Bissau,GNB,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.38,0.87
Guyana,GUY,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,27.94,1.26
Haiti,HTI,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.22,1.09
Honduras,HND,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.86,1.12
Hungary,HUN,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.46,1.28
Iceland,ISL,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,66.21,2.98
India,IND,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.33,0.78
Indonesia,IDN,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.36,0.87
Iran (Islamic Republic of),IRN,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.23,1.05
Iraq,IRQ,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,30.27,1.36
Ireland,IRL,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,52.16,2.35
Israel,ISR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,60.01,2.7
Italy,ITA,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,43.22,1.95
Jamaica,JAM,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,31.63,1.43
Japan,JPN,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.9,2.47
Jordan,JOR,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.19,1.09
Kazakhstan,KAZ,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.59,0.93
Kenya,KEN,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.2,1.05
Kiribati,KIR,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,40.29,1.82
Kuwait,KWT,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.5,1.6
Kyrgyzstan,KGZ,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,13.78,0.62
Lao People's Democratic Republic,LAO,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.91,0.81
Latvia,LVA,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,32.11,1.45
Lebanon,LBN,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.82,1.3
Lesotho,LSO,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.86,1.03
Liberia,LBR,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.09,1.09
Libya,LBY,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.01,1.26
Lithuania,LTU,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,29.13,1.31
Luxembourg,LUX,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.75,2.47
Madagascar,MDG,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.57,0.79
Malawi,MWI,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,21.48,0.97
Malaysia,MYS,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.25,1
Maldives,MDV,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,30.09,1.36
Mali,MLI,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.94,0.94
Malta,MLT,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,37.28,1.68
Marshall Islands,MHL,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.92,2.48
Mauritania,MRT,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.87,0.81
Mauritius,MUS,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,26.84,1.21
Mexico,MEX,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.09,1.27
Micronesia (Federated States of),FSM,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,58.08,2.62
Monaco,MCO,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.09,0.86
Mongolia,MNG,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.49,0.88
Montenegro,MNE,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.04,0.99
Montserrat,MSR,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,57.75,2.6
Morocco,MAR,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.7,1.07
Mozambique,MOZ,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,21.73,0.98
Myanmar,MMR,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,15.14,0.68
Namibia,NAM,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.45,1.28
Nauru,NRU,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,44.87,2.02
Nepal,NPL,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.34,0.78
Netherlands,NLD,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,50.78,2.29
New Caledonia,NCL,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,50.78,2.29
New Zealand,NZL,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.78,2.47
Nicaragua,NIC,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.56,0.88
Niger,NER,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,25.02,1.13
Nigeria,NGA,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.01,1.08
Niue,NIU,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,57.75,2.6
North Macedonia,MKD,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.78,0.89
Northern Mariana Islands,MNP,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.78,0.89
Norway,NOR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,64.07,2.89
Oman,OMN,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,31.08,1.4
Pakistan,PAK,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,15.15,0.68
Palau,PLW,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,46.88,2.11
Panama,PAN,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,27.65,1.25
Papua New Guinea,PNG,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.93,1.62
Paraguay,PRY,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.61,1.06
Peru,PER,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,30.03,1.35
Philippines,PHL,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,21.64,0.98
Poland,POL,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,26.54,1.2
Portugal,PRT,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,36.47,1.64
Puerto Rico,PRI,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,52.67,2.37
Qatar,QAT,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,38.13,1.72
Republic of Korea,KOR,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,43.04,1.94
Republic of Moldova,MDA,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.09,0.86
Romania,ROU,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.05,1.04
Russian Federation,RUS,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.75,1.03
Rwanda,RWA,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.36,0.92
Saint Kitts and Nevis,KNA,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,41.7,1.88
Saint Lucia,LCA,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,41.57,1.87
Saint Vincent and the Grenadines,VCT,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,33.03,1.49
Samoa,WSM,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,36.68,1.65
San Marino,SMR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,46.47,2.09
Sao Tome and Principe,STP,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,27.12,1.22
Saudi Arabia,SAU,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,27.25,1.23
Senegal,SEN,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.57,1.06
Serbia,SRB,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,22.61,1.02
Seychelles,SYC,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,33.02,1.49
Sierra Leone,SLE,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,16.98,0.77
Singapore,SGP,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,37.06,1.67
Sint Maarten (Dutch part),SXM,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,46.51,2.1
Slovakia,SVK,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,34.19,1.54
Slovenia,SVN,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,36.37,1.64
Solomon Islands,SLB,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,49.3,2.22
Somalia,SOM,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.57,0.93
South Africa,ZAF,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,26.59,1.2
South Sudan,SSD,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,26.59,1.2
Spain,ESP,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,40.47,1.82
Sri Lanka,LKA,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,16.29,0.73
Sudan,SDN,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,10.03,0.45
Suriname,SUR,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,21.28,0.96
Sweden,SWE,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.2,2.44
Switzerland,CHE,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,67.37,3.04
Syrian Arab Republic,SYR,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,67.37,3.04
Tajikistan,TJK,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,14.25,0.64
Thailand,THA,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.39,1.05
Timor-Leste,TLS,SEA,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,24.29,1.09
Togo,TGO,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.53,1.06
Tokelau,TKL,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,57.75,2.6
Tonga,TON,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,42.48,1.91
Trinidad and Tobago,TTO,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,36.76,1.66
Tunisia,TUN,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,17.06,0.77
Turkey,TUR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,19.29,0.87
Turkmenistan,TKM,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,26.46,1.19
Turks and Caicos Islands,TCA,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,59.27,2.67
Tuvalu,TUV,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,52.43,2.36
Uganda,UGA,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.08,0.91
Ukraine,UKR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,15.8,0.71
United Arab Emirates,ARE,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,35.51,1.6
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,50.42,2.27
United Republic of Tanzania,TZA,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,23.33,1.05
United States of America,USA,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,57.75,2.6
Uruguay,URY,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,41.53,1.87
Uzbekistan,UZB,EUR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,13.63,0.61
Vanuatu,VUT,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.64,2.46
Venezuela (Bolivarian Republic of),VEN,AMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,54.64,2.46
Viet Nam,VNM,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,18.67,0.84
Wallis and Futuna Islands,WLF,WPR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,57.75,2.6
Yemen,YEM,EMR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,31.79,1.43
Zambia,ZMB,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,20.8,0.94
Zimbabwe,ZWE,AFR,Xpert MTB/RIF test (5-14 years),c_xpert_test.514,28.55,1.29
Afghanistan,AFG,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Albania,ALB,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Algeria,DZA,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
American Samoa,ASM,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Andorra,AND,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Angola,AGO,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Anguilla,AIA,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Antigua and Barbuda,ATG,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Argentina,ARG,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Armenia,ARM,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Aruba,ABW,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Australia,AUS,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Austria,AUT,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Azerbaijan,AZE,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bahamas,BHS,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bahrain,BHR,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bangladesh,BGD,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Barbados,BRB,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Belarus,BLR,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Belgium,BEL,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Belize,BLZ,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Benin,BEN,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bermuda,BMU,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bhutan,BTN,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bolivia (Plurinational State of),BOL,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bosnia and Herzegovina,BIH,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Botswana,BWA,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Brazil,BRA,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
British Virgin Islands,VGB,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Brunei Darussalam,BRN,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Bulgaria,BGR,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Burkina Faso,BFA,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Burundi,BDI,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cabo Verde,CPV,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cambodia,KHM,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cameroon,CMR,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Canada,CAN,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cayman Islands,CYM,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Central African Republic,CAF,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Chad,TCD,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Chile,CHL,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
China,CHN,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
"China, Hong Kong SAR",HKG,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
"China, Macao SAR",MAC,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Colombia,COL,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Comoros,COM,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Congo,COG,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cook Islands,COK,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Costa Rica,CRI,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Côte d'Ivoire,CIV,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Croatia,HRV,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cuba,CUB,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Curaçao,CUW,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Cyprus,CYP,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Czechia,CZE,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Democratic People's Republic of Korea,PRK,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Democratic Republic of the Congo,COD,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Denmark,DNK,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Djibouti,DJI,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Dominica,DMA,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Dominican Republic,DOM,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Ecuador,ECU,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Egypt,EGY,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
El Salvador,SLV,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Equatorial Guinea,GNQ,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Eritrea,ERI,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Estonia,EST,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Eswatini,SWZ,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Ethiopia,ETH,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Fiji,FJI,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Finland,FIN,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
France,FRA,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
French Polynesia,PYF,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Gabon,GAB,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Gambia,GMB,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Georgia,GEO,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Germany,DEU,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Ghana,GHA,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Greece,GRC,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Greenland,GRL,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Grenada,GRD,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Guam,GUM,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Guatemala,GTM,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Guinea,GIN,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Guinea-Bissau,GNB,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Guyana,GUY,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Haiti,HTI,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Honduras,HND,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Hungary,HUN,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Iceland,ISL,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
India,IND,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Indonesia,IDN,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Iran (Islamic Republic of),IRN,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Iraq,IRQ,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Ireland,IRL,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Israel,ISR,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Italy,ITA,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Jamaica,JAM,AMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Japan,JPN,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Jordan,JOR,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Kazakhstan,KAZ,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Kenya,KEN,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Kiribati,KIR,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Kuwait,KWT,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Kyrgyzstan,KGZ,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Lao People's Democratic Republic,LAO,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Latvia,LVA,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Lebanon,LBN,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Lesotho,LSO,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Liberia,LBR,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Libya,LBY,EMR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Lithuania,LTU,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Luxembourg,LUX,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Madagascar,MDG,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Malawi,MWI,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Malaysia,MYS,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Maldives,MDV,SEA,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Mali,MLI,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Malta,MLT,EUR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Marshall Islands,MHL,WPR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Mauritania,MRT,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
Mauritius,MUS,AFR,Isoniazid-based TPT (0-4 years),c_tpt_INH.04,5.4,1.35
